edad;raza dominante;emocion;genero;archivo;id
27;latino hispanic;neutral;Man;133325b4-bca5-4f74-bb91-685aa4389d11-20.png;133325b4-bca5-4f74-bb91-685aa4389d11
27;latino hispanic;neutral;Man;133325b4-bca5-4f74-bb91-685aa4389d11-21.png;133325b4-bca5-4f74-bb91-685aa4389d11
28;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-1.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-10.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-100.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-101.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-102.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
28;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-103.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
28;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-104.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-105.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-106.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-107.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-108.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
26;middle eastern;fear;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-109.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
27;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-11.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
26;middle eastern;fear;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-110.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-111.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-112.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-113.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-114.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-115.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
29;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-116.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
28;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-117.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
28;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-118.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
30;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-119.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
26;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-12.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
30;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-120.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
31;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-121.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
31;middle eastern;neutral;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-122.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
26;middle eastern;happy;Man;72eda2db-c4fc-4561-a5e7-1076cce47af4-13.png;72eda2db-c4fc-4561-a5e7-1076cce47af4
